site_id,weekly_dispense_kits,avg_visit_rate
SITE_001,52,2.88
SITE_002,25,2.89
SITE_003,43,1.26
SITE_004,40,3.26
SITE_005,37,2.26
SITE_006,34,3.07
SITE_007,41,1.8
SITE_008,27,3.24
SITE_009,14,1.97
SITE_010,58,1.03
SITE_011,9,3.26
SITE_012,40,1.23
SITE_013,38,1.8
SITE_014,56,3.38
SITE_015,35,3.38
SITE_016,14,2.43
SITE_017,23,2.58
SITE_018,36,2.12
SITE_019,5,1.73
SITE_020,9,1.82
SITE_021,49,2.68
SITE_022,8,2.88
SITE_023,20,2.98
SITE_024,28,2.97
SITE_025,20,1.23
SITE_026,59,2.24
SITE_027,6,1.14
SITE_028,53,2.37
SITE_029,32,2.1
SITE_030,36,3.22
SITE_031,31,1.88
SITE_032,24,1.29
SITE_033,28,1.36
SITE_034,16,2.9
SITE_035,54,2.55
SITE_036,39,1.25
SITE_037,37,1.21
SITE_038,37,2.75
SITE_039,55,1.18
SITE_040,47,3.05
SITE_041,41,2.77
SITE_042,16,1.2
SITE_043,7,1.21
SITE_044,5,3.47
SITE_045,37,1.94
SITE_046,44,1.93
SITE_047,14,3.03
SITE_048,47,3.37
SITE_049,48,3.47
SITE_050,33,2.88
SITE_051,17,1.94
SITE_052,16,1.21
SITE_053,35,2.94
SITE_054,50,2.4
SITE_055,6,2.06
SITE_056,55,3.27
SITE_057,54,1.28
SITE_058,39,2.23
SITE_059,27,1.03
SITE_060,21,2.17
SITE_061,30,1.14
SITE_062,12,1.3
SITE_063,33,1.29
SITE_064,30,2.62
SITE_065,14,2.87
SITE_066,30,2.46
SITE_067,38,3.41
SITE_068,55,1.94
SITE_069,45,1.71
SITE_070,11,3.17
SITE_071,8,1.56
SITE_072,57,3.41
SITE_073,54,1.03
SITE_074,49,3.42
SITE_075,15,1.11
SITE_076,33,3.23
SITE_077,40,2.32
SITE_078,29,3.48
SITE_079,25,1.18
SITE_080,40,2.38
SITE_081,14,3.42
SITE_082,41,2.31
SITE_083,13,2.57
SITE_084,28,2.74
SITE_085,39,2.14
SITE_086,53,2.57
SITE_087,39,2.46
SITE_088,52,3.25
SITE_089,40,1.11
SITE_090,22,1.7
SITE_091,53,3.38
SITE_092,43,3.23
SITE_093,36,2.14
SITE_094,28,2.55
SITE_095,27,1.69
SITE_096,36,1.47
SITE_097,41,2.16
SITE_098,16,1.88
SITE_099,53,2.46
SITE_100,59,1.19
